Fecha,Equipo local,Equipo visitante,Equipo,Tipo,Link,jugadores_#,jugadores_G,jugadores_T%,jugadores_MSh,jugadores_7M,jugadores_FG,jugadores_A,jugadores_B,jugadores_St,jugadores_2Min,jugadores_TF,jugadores_RC,porteros_#,porteros_S,porteros_S%,porteros_GKGA,porteros_S 7M,porteros_S% 7M,porteros_S FSh,porteros_S% FG,porteros_G,porteros_A,porteros_2Min,porteros_RC,Resultado,Jornada
08/06/2025,HSG Wetzlar,HC Erlangen,HC Erlangen,visitante,https://www.daikin-hbl.de/en/match/a69c70fe-4374-11ef-8cac-e12378ed22f2,451.0,24.0,598.0,17.0,2.0,22.0,7.0,4.0,3.0,2.0,9.0,0.0,97.0,14.0,40.0,21.0,2.0,50.0,12.0,39.0,1.0,0.0,0.0,0.0,21 - 25,34
08/06/2025,TVB Stuttgart,SC DHfK Leipzig,TVB Stuttgart,local,https://www.daikin-hbl.de/en/match/a79b1a97-4374-11ef-b022-89956fae12b0,225.0,29.0,485.0,24.0,3.0,26.0,4.0,4.0,4.0,4.0,4.0,0.0,46.0,15.0,135.0,26.0,0.0,0.0,15.0,137.0,0.0,0.0,0.0,0.0,29 - 28,34
08/06/2025,HSG Wetzlar,HC Erlangen,HSG Wetzlar,local,https://www.daikin-hbl.de/en/match/a69c70fe-4374-11ef-8cac-e12378ed22f2,361.0,21.0,450.0,20.0,2.0,19.0,7.0,4.0,2.0,7.0,10.0,0.0,23.0,9.0,57.0,24.0,0.0,0.0,9.0,59.0,0.0,0.0,0.0,0.0,21 - 25,34
08/06/2025,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,visitante,https://www.daikin-hbl.de/en/match/a4b645c0-4374-11ef-9c1c-3f6243ab3ed4,268.0,37.0,520.0,18.0,2.0,35.0,13.0,1.0,1.0,2.0,11.0,0.0,28.0,13.0,51.0,38.0,0.0,0.0,13.0,52.0,0.0,0.0,0.0,0.0,40 - 37,34
08/06/2025,THW Kiel,ThSV Eisenach,ThSV Eisenach,visitante,https://www.daikin-hbl.de/en/match/a9a42452-4374-11ef-a262-89956fae12b0,405.0,35.0,645.0,17.0,2.0,33.0,9.0,0.0,1.0,5.0,5.0,0.0,13.0,9.0,24.0,36.0,0.0,0.0,9.0,25.0,0.0,0.0,0.0,0.0,36 - 35,34
08/06/2025,THW Kiel,ThSV Eisenach,THW Kiel,local,https://www.daikin-hbl.de/en/match/a9a42452-4374-11ef-a262-89956fae12b0,472.0,36.0,877.0,14.0,1.0,35.0,13.0,1.0,1.0,1.0,7.0,0.0,49.0,15.0,64.0,34.0,1.0,33.0,14.0,63.0,0.0,0.0,0.0,0.0,36 - 35,34
08/06/2025,1. VfL Potsdam,MT Melsungen,MT Melsungen,visitante,https://www.daikin-hbl.de/en/match/a9648a25-4374-11ef-bba3-337ae13ae915,307.0,31.0,795.0,11.0,3.0,28.0,13.0,1.0,2.0,2.0,11.0,0.0,116.0,13.0,82.0,26.0,0.0,0.0,13.0,83.0,0.0,0.0,0.0,0.0,26 - 31,34
08/06/2025,1. VfL Potsdam,MT Melsungen,1. VfL Potsdam,local,https://www.daikin-hbl.de/en/match/a9648a25-4374-11ef-bba3-337ae13ae915,192.0,26.0,657.0,20.0,1.0,25.0,5.0,2.0,2.0,1.0,9.0,0.0,90.0,6.0,20.0,31.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,26 - 31,34
08/06/2025,TVB Stuttgart,SC DHfK Leipzig,SC DHfK Leipzig,visitante,https://www.daikin-hbl.de/en/match/a79b1a97-4374-11ef-b022-89956fae12b0,363.0,28.0,425.0,23.0,2.0,26.0,6.0,4.0,0.0,3.0,6.0,0.0,13.0,15.0,36.0,27.0,1.0,25.0,14.0,37.0,0.0,0.0,0.0,0.0,29 - 28,34
08/06/2025,VfL Gummersbach,TSV Hannover-Burgdorf,TSV Hannover-Burgdorf,visitante,https://www.daikin-hbl.de/en/match/a79a0466-4374-11ef-8dc0-5f411ff1ae1b,504.0,29.0,615.0,21.0,2.0,27.0,12.0,1.0,1.0,4.0,10.0,0.0,51.0,5.0,24.0,37.0,1.0,33.0,4.0,19.0,0.0,0.0,0.0,0.0,39 - 29,34
08/06/2025,VfL Gummersbach,TSV Hannover-Burgdorf,VfL Gummersbach,local,https://www.daikin-hbl.de/en/match/a79a0466-4374-11ef-8dc0-5f411ff1ae1b,216.0,39.0,937.0,9.0,2.0,37.0,12.0,2.0,1.0,5.0,4.0,1.0,17.0,15.0,77.0,29.0,5.0,83.0,10.0,58.0,0.0,0.0,0.0,0.0,39 - 29,34
08/06/2025,Rhein-Neckar Löwen,Füchse Berlin,Füchse Berlin,visitante,https://www.daikin-hbl.de/en/match/a6d07af7-4374-11ef-b774-e12378ed22f2,317.0,38.0,515.0,15.0,8.0,30.0,11.0,2.0,2.0,2.0,8.0,0.0,97.0,10.0,46.0,33.0,1.0,50.0,9.0,39.0,0.0,0.0,0.0,0.0,33 - 38,34
08/06/2025,Rhein-Neckar Löwen,Füchse Berlin,Rhein-Neckar Löwen,local,https://www.daikin-hbl.de/en/match/a6d07af7-4374-11ef-b774-e12378ed22f2,392.0,33.0,508.0,17.0,3.0,30.0,11.0,2.0,4.0,6.0,10.0,0.0,30.0,11.0,53.0,38.0,1.0,20.0,10.0,72.0,0.0,1.0,0.0,0.0,33 - 38,34
08/06/2025,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,local,https://www.daikin-hbl.de/en/match/a4b645c0-4374-11ef-9c1c-3f6243ab3ed4,387.0,40.0,559.0,21.0,1.0,39.0,16.0,2.0,5.0,2.0,4.0,0.0,21.0,10.0,22.0,36.0,0.0,0.0,10.0,23.0,0.0,1.0,0.0,0.0,40 - 37,34
