Fecha,Equipo local,Equipo visitante,Equipo,Tipo,Link,jugadores_#,jugadores_G,jugadores_T%,jugadores_MSh,jugadores_7M,jugadores_FG,jugadores_A,jugadores_B,jugadores_St,jugadores_2Min,jugadores_TF,jugadores_RC,porteros_#,porteros_S,porteros_S%,porteros_GKGA,porteros_S 7M,porteros_S% 7M,porteros_S FSh,porteros_S% FG,porteros_G,porteros_A,porteros_2Min,porteros_RC,id_partido,goles_local,goles_visitante,victoria_local
2022-09-01,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,SG Flensburg-Handewitt,visitante,https://www.daikin-hbl.de/en/match/3220ebe7-3961-11ef-92d3-eda1a7fb9e81,410.0,31.0,737.0,12.0,5.0,26.0,13.0,7.0,1.0,7.0,8.0,0.0,21.0,10.0,29.0,28.0,1.0,33.0,9.0,28.0,0.0,0.0,0.0,0.0,1,30.0,30.0,
2022-09-01,TSV Hannover-Burgdorf,SC DHfK Leipzig,TSV Hannover-Burgdorf,local,https://www.daikin-hbl.de/en/match/31b7ff04-3961-11ef-97f3-eda1a7fb9e81,502.0,25.0,573.0,17.0,2.0,20.0,15.0,1.0,2.0,2.0,10.0,0.0,22.0,9.0,74.0,22.0,2.0,50.0,7.0,80.0,0.0,0.0,0.0,0.0,2,25.0,31.0,0.0
2022-09-01,TSV Hannover-Burgdorf,SC DHfK Leipzig,SC DHfK Leipzig,visitante,https://www.daikin-hbl.de/en/match/31b7ff04-3961-11ef-97f3-eda1a7fb9e81,331.0,22.0,592.0,13.0,6.0,15.0,2.0,1.0,3.0,5.0,12.0,0.0,108.0,12.0,34.0,23.0,0.0,0.0,12.0,40.0,0.0,0.0,0.0,0.0,2,25.0,31.0,
2022-09-01,TBV Lemgo Lippe,VfL Gummersbach,TBV Lemgo Lippe,local,https://www.daikin-hbl.de/en/match/31ea0b9a-3961-11ef-beb9-eda1a7fb9e81,191.0,26.0,458.0,23.0,2.0,24.0,12.0,2.0,1.0,2.0,11.0,0.0,119.0,10.0,50.0,30.0,2.0,100.0,8.0,37.0,0.0,0.0,0.0,0.0,3,26.0,22.0,1.0
2022-09-01,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,local,https://www.daikin-hbl.de/en/match/3220ebe7-3961-11ef-92d3-eda1a7fb9e81,250.0,30.0,577.0,18.0,2.0,28.0,12.0,0.0,3.0,6.0,6.0,1.0,81.0,8.0,22.0,30.0,0.0,0.0,8.0,24.0,0.0,0.0,0.0,0.0,1,30.0,30.0,
2022-09-01,HC Erlangen,HSG Wetzlar,HC Erlangen,local,https://www.daikin-hbl.de/en/match/31ff9bc3-3961-11ef-97a4-eda1a7fb9e81,442.0,31.0,663.0,12.0,2.0,29.0,12.0,3.0,2.0,2.0,17.0,0.0,38.0,15.0,38.0,24.0,2.0,67.0,13.0,36.0,0.0,2.0,0.0,0.0,4,31.0,27.0,1.0
2022-09-01,TBV Lemgo Lippe,VfL Gummersbach,VfL Gummersbach,visitante,https://www.daikin-hbl.de/en/match/31ea0b9a-3961-11ef-beb9-eda1a7fb9e81,261.0,30.0,519.0,19.0,2.0,28.0,9.0,4.0,4.0,3.0,9.0,0.0,28.0,14.0,36.0,25.0,2.0,50.0,12.0,34.0,0.0,0.0,0.0,0.0,3,26.0,22.0,
2022-09-01,HC Erlangen,HSG Wetzlar,HSG Wetzlar,visitante,https://www.daikin-hbl.de/en/match/31ff9bc3-3961-11ef-97a4-eda1a7fb9e81,312.0,27.0,675.0,21.0,1.0,26.0,13.0,3.0,3.0,0.0,11.0,0.0,23.0,8.0,41.0,30.0,3.0,75.0,5.0,31.0,0.0,0.0,0.0,0.0,4,31.0,27.0,
2022-09-03,Rhein-Neckar Löwen,MT Melsungen,MT Melsungen,visitante,https://www.daikin-hbl.de/en/match/31c9ff63-3961-11ef-bd1b-eda1a7fb9e81,319.0,18.0,473.0,7.0,3.0,15.0,11.0,1.0,2.0,3.0,13.0,0.0,17.0,14.0,55.0,34.0,2.0,83.0,12.0,53.0,0.0,0.0,0.0,0.0,5,36.0,18.0,
2022-09-03,Rhein-Neckar Löwen,MT Melsungen,Rhein-Neckar Löwen,local,https://www.daikin-hbl.de/en/match/31c9ff63-3961-11ef-bd1b-eda1a7fb9e81,341.0,36.0,726.0,1.0,3.0,33.0,14.0,2.0,6.0,5.0,13.0,0.0,36.0,13.0,73.0,24.0,1.0,33.0,10.0,55.0,0.0,2.0,0.0,0.0,5,36.0,18.0,1.0
