,Fecha,Equipo local,Equipo visitante,Resultado,Jornada, victoria_local,goles_locales,goles_visitante,goles_totales,victoria_local,Over_60
0,08/06/2025,SG BBM Bietigheim,SC Magdeburg,25 - 35,34,,25,35,60,0,0
1,08/06/2025,TBV Lemgo Lippe,FRISCH AUF! Göppingen,29 - 29,34,,29,29,58,0,0
2,08/06/2025,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,40 - 37,34,,40,37,77,1,1
3,08/06/2025,HSG Wetzlar,HC Erlangen,21 - 25,34,,21,25,46,0,0
4,08/06/2025,Rhein-Neckar Löwen,Füchse Berlin,33 - 38,34,,33,38,71,0,1
5,08/06/2025,VfL Gummersbach,TSV Hannover-Burgdorf,39 - 29,34,,39,29,68,1,1
6,08/06/2025,TVB Stuttgart,SC DHfK Leipzig,29 - 28,34,,29,28,57,1,0
7,08/06/2025,1. VfL Potsdam,MT Melsungen,26 - 31,34,,26,31,57,0,0
8,08/06/2025,THW Kiel,ThSV Eisenach,36 - 35,34,,36,35,71,1,1
9,05/06/2025,Füchse Berlin,VfL Gummersbach,45 - 35,33,,45,35,80,1,1
10,05/06/2025,Handball Sport Verein Hamburg,HSG Wetzlar,33 - 29,33,,33,29,62,1,1
11,05/06/2025,FRISCH AUF! Göppingen,TVB Stuttgart,28 - 27,33,,28,27,55,1,0
12,04/06/2025,SC Magdeburg,SG Flensburg-Handewitt,35 - 27,33,,35,27,62,1,1
13,04/06/2025,TSV Hannover-Burgdorf,THW Kiel,29 - 29,33,,29,29,58,0,0
14,04/06/2025,SC DHfK Leipzig,SG BBM Bietigheim,25 - 34,33,,25,34,59,0,0
15,04/06/2025,MT Melsungen,TBV Lemgo Lippe,26 - 26,33,,26,26,52,0,0
16,04/06/2025,ThSV Eisenach,1. VfL Potsdam,37 - 19,33,,37,19,56,1,0
17,01/06/2025,SG Flensburg-Handewitt,TSV Hannover-Burgdorf,34 - 32,32,,34,32,66,1,1
