Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link
"Jun 2, 2024",MT Melsungen,THW Kiel,,,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832
"Jun 2, 2024",TSV Hannover-Burgdorf,HC Erlangen,,,https://www.daikin-hbl.de/en/match/abd106ad-3961-11ef-bee2-4f9b0a263832
"Jun 2, 2024",SC DHfK Leipzig,Rhein-Neckar Löwen,,,https://www.daikin-hbl.de/en/match/abe52150-3961-11ef-b745-4f9b0a263832
"Jun 2, 2024",HBW Balingen-Weilstetten,Handball Sport Verein Hamburg,,,https://www.daikin-hbl.de/en/match/abfa0098-3961-11ef-af12-4f9b0a263832
"Jun 2, 2024",SC Magdeburg,HSG Wetzlar,,,https://www.daikin-hbl.de/en/match/ac0abccc-3961-11ef-800e-4f9b0a263832
"Jun 2, 2024",Bergischer HC,SG Flensburg-Handewitt,,,https://www.daikin-hbl.de/en/match/ac1cb5ca-3961-11ef-99d5-4f9b0a263832
"Jun 2, 2024",TVB Stuttgart,TBV Lemgo Lippe,,,https://www.daikin-hbl.de/en/match/ac2f87ad-3961-11ef-81db-4f9b0a263832
"Jun 2, 2024",VfL Gummersbach,FRISCH AUF! Göppingen,,,https://www.daikin-hbl.de/en/match/ac42a8d5-3961-11ef-ae9d-4f9b0a263832
"Jun 2, 2024",ThSV Eisenach,Füchse Berlin,,,https://www.daikin-hbl.de/en/match/ac5475b3-3961-11ef-8dcc-4f9b0a263832
"May 30, 2024",Füchse Berlin,Bergischer HC,,,https://www.daikin-hbl.de/en/match/ab66afc3-3961-11ef-9c27-4f9b0a263832
"May 30, 2024",Rhein-Neckar Löwen,SC Magdeburg,,,https://www.daikin-hbl.de/en/match/ab9a7d47-3961-11ef-9ea2-4f9b0a263832
"May 30, 2024",SG Flensburg-Handewitt,VfL Gummersbach,,,https://www.daikin-hbl.de/en/match/ab79012b-3961-11ef-8af6-4f9b0a263832
"May 29, 2024",FRISCH AUF! Göppingen,MT Melsungen,,,https://www.daikin-hbl.de/en/match/ab332d15-3961-11ef-8ba6-4f9b0a263832
"May 29, 2024",Handball Sport Verein Hamburg,ThSV Eisenach,,,https://www.daikin-hbl.de/en/match/ab1f7bde-3961-11ef-b981-4f9b0a263832
"May 29, 2024",HC Erlangen,TVB Stuttgart,,,https://www.daikin-hbl.de/en/match/ab43e016-3961-11ef-8a82-4f9b0a263832
"May 29, 2024",TBV Lemgo Lippe,HBW Balingen-Weilstetten,,,https://www.daikin-hbl.de/en/match/ab55487d-3961-11ef-a936-4f9b0a263832
"May 29, 2024",HSG Wetzlar,TSV Hannover-Burgdorf,,,https://www.daikin-hbl.de/en/match/ab898994-3961-11ef-b1a3-4f9b0a263832
"May 29, 2024",THW Kiel,SC DHfK Leipzig,,,https://www.daikin-hbl.de/en/match/abad3b46-3961-11ef-940d-4f9b0a263832
"May 26, 2024",VfL Gummersbach,THW Kiel,,,https://www.daikin-hbl.de/en/match/9b86afc9-3961-11ef-812d-2d4c63b0970e
"May 26, 2024",SC Magdeburg,SC DHfK Leipzig,,,https://www.daikin-hbl.de/en/match/9df04997-3961-11ef-8b2a-2d4c63b0970e
"May 23, 2024",SC Magdeburg,HBW Balingen-Weilstetten,,,https://www.daikin-hbl.de/en/match/a94ca9c4-3961-11ef-a67a-4f9b0a263832
"May 20, 2024",THW Kiel,FRISCH AUF! Göppingen,,,https://www.daikin-hbl.de/en/match/aae3b299-3961-11ef-b5eb-4f9b0a263832
"May 19, 2024",Bergischer HC,TBV Lemgo Lippe,,,https://www.daikin-hbl.de/en/match/aabd2aec-3961-11ef-aa74-4f9b0a263832
"May 19, 2024",VfL Gummersbach,Rhein-Neckar Löwen,,,https://www.daikin-hbl.de/en/match/aaf62797-3961-11ef-9929-4f9b0a263832
"May 18, 2024",HC Erlangen,SC Magdeburg,,,https://www.daikin-hbl.de/en/match/9040d693-3961-11ef-8bb7-2d4c63b0970e
"May 18, 2024",TSV Hannover-Burgdorf,Füchse Berlin,,,https://www.daikin-hbl.de/en/match/aa884103-3961-11ef-bcd9-4f9b0a263832
"May 18, 2024",ThSV Eisenach,SG Flensburg-Handewitt,,,https://www.daikin-hbl.de/en/match/ab0a51b5-3961-11ef-9d79-4f9b0a263832
"May 18, 2024",SC DHfK Leipzig,Handball Sport Verein Hamburg,,,https://www.daikin-hbl.de/en/match/aa9ac0b5-3961-11ef-9e89-4f9b0a263832
"May 17, 2024",TVB Stuttgart,HBW Balingen-Weilstetten,,,https://www.daikin-hbl.de/en/match/aacf9c5f-3961-11ef-8c17-4f9b0a263832
"May 17, 2024",MT Melsungen,HSG Wetzlar,,,https://www.daikin-hbl.de/en/match/aa746bbf-3961-11ef-81a5-4f9b0a263832
"May 16, 2024",THW Kiel,Rhein-Neckar Löwen,,,https://www.daikin-hbl.de/en/match/a98af607-3961-11ef-9aa9-4f9b0a263832
"May 15, 2024",Handball Sport Verein Hamburg,SG Flensburg-Handewitt,,,https://www.daikin-hbl.de/en/match/9bc3f51c-3961-11ef-97d9-2d4c63b0970e
"May 5, 2024",TBV Lemgo Lippe,SC Magdeburg,,,https://www.daikin-hbl.de/en/match/aa137d0f-3961-11ef-b610-4f9b0a263832
"May 5, 2024",HSG Wetzlar,THW Kiel,,,https://www.daikin-hbl.de/en/match/aa4fb6a7-3961-11ef-895d-4f9b0a263832
"May 5, 2024",Füchse Berlin,VfL Gummersbach,,,https://www.daikin-hbl.de/en/match/aa26f9a8-3961-11ef-8a2d-4f9b0a263832
"May 4, 2024",Rhein-Neckar Löwen,TSV Hannover-Burgdorf,,,https://www.daikin-hbl.de/en/match/aa61b37e-3961-11ef-b1ca-4f9b0a263832
"May 4, 2024",SG Flensburg-Handewitt,TVB Stuttgart,,,https://www.daikin-hbl.de/en/match/aa3bbb1b-3961-11ef-9ba7-4f9b0a263832
