#,Name,G,T%,MSh,7M,FG,A,B,St,2Min,TF,RC,Partido,Jornada,Fecha,Temporada,Link,S,S%,GKGA,S 7M,S% 7M,S FSh,S% FG
4,Johannes Golla,3,75.0,0.0,0.0,3.0,0,0.0,0.0,1,0.0,0,SG Flensburg-Handewitt vs Rhein-Neckar Löwen,34,"Jun 11, 2023",2022_23,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b,,,,,,,
5,Simon Hald Jensen,3,100.0,0.0,0.0,3.0,0,3.0,0.0,0,0.0,0,SG Flensburg-Handewitt vs Rhein-Neckar Löwen,34,"Jun 11, 2023",2022_23,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b,,,,,,,
14,Teitur Örn Einarsson,1,50.0,0.0,0.0,1.0,0,0.0,0.0,1,2.0,0,SG Flensburg-Handewitt vs Rhein-Neckar Löwen,34,"Jun 11, 2023",2022_23,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b,,,,,,,
19,Oskar Czertowicz,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,SG Flensburg-Handewitt vs Rhein-Neckar Löwen,34,"Jun 11, 2023",2022_23,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b,,,,,,,
22,Mads Mensah Larsen,1,33.0,0.0,0.0,1.0,3,0.0,0.0,0,0.0,0,SG Flensburg-Handewitt vs Rhein-Neckar Löwen,34,"Jun 11, 2023",2022_23,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b,,,,,,,
23,Gøran Søgard Johannessen,0,0.0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0,SG Flensburg-Handewitt vs Rhein-Neckar Löwen,34,"Jun 11, 2023",2022_23,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b,,,,,,,
26,Johan Hansen,5,71.0,0.0,0.0,5.0,0,0.0,0.0,0,0.0,0,SG Flensburg-Handewitt vs Rhein-Neckar Löwen,34,"Jun 11, 2023",2022_23,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b,,,,,,,
29,August Pedersen,4,80.0,1.0,0.0,4.0,0,0.0,0.0,0,0.0,0,SG Flensburg-Handewitt vs Rhein-Neckar Löwen,34,"Jun 11, 2023",2022_23,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b,,,,,,,
31,Emil Jakobsen,1,50.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0,SG Flensburg-Handewitt vs Rhein-Neckar Löwen,34,"Jun 11, 2023",2022_23,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b,,,,,,,
32,Franz Semper,1,33.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0,SG Flensburg-Handewitt vs Rhein-Neckar Löwen,34,"Jun 11, 2023",2022_23,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b,,,,,,,
