Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link
"Jun 11, 2023",SG Flensburg-Handewitt,Rhein-Neckar Löwen,34 - 31,34,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b
"Jun 11, 2023",HSG Wetzlar,SC Magdeburg,30 - 35,34,https://www.daikin-hbl.de/en/match/509f543a-3961-11ef-ba77-7fa33ac8682b
"Jun 11, 2023",TBV Lemgo Lippe,Füchse Berlin,35 - 32,34,https://www.daikin-hbl.de/en/match/50af09e0-3961-11ef-8eaa-7fa33ac8682b
"Jun 11, 2023",FRISCH AUF! Göppingen,THW Kiel,27 - 34,34,https://www.daikin-hbl.de/en/match/50c04fa4-3961-11ef-a004-7fa33ac8682b
"Jun 11, 2023",TVB Stuttgart,TSV Hannover-Burgdorf,31 - 34,34,https://www.daikin-hbl.de/en/match/50d14770-3961-11ef-a1c4-7fa33ac8682b
"Jun 11, 2023",Bergischer HC,HC Erlangen,29 - 30,34,https://www.daikin-hbl.de/en/match/50e0972f-3961-11ef-8283-7fa33ac8682b
"Jun 11, 2023",GWD Minden,VfL Gummersbach,38 - 38,34,https://www.daikin-hbl.de/en/match/50eeb187-3961-11ef-8601-7fa33ac8682b
"Jun 11, 2023",ASV Hamm-Westfalen,SC DHfK Leipzig,28 - 33,34,https://www.daikin-hbl.de/en/match/50fe053a-3961-11ef-a403-7fa33ac8682b
"Jun 11, 2023",Handball Sport Verein Hamburg,MT Melsungen,33 - 28,34,https://www.daikin-hbl.de/en/match/510cc014-3961-11ef-ab3f-7fa33ac8682b
"Jun 8, 2023",SC Magdeburg,TVB Stuttgart,31 - 27,33,https://www.daikin-hbl.de/en/match/501198c0-3961-11ef-ae82-7fa33ac8682b
"Jun 8, 2023",TSV Hannover-Burgdorf,GWD Minden,32 - 19,33,https://www.daikin-hbl.de/en/match/501fada7-3961-11ef-99ee-7fa33ac8682b
"Jun 8, 2023",HC Erlangen,SG Flensburg-Handewitt,28 - 33,33,https://www.daikin-hbl.de/en/match/5071c392-3961-11ef-a524-7fa33ac8682b
"Jun 8, 2023",VfL Gummersbach,FRISCH AUF! Göppingen,35 - 32,33,https://www.daikin-hbl.de/en/match/5080dfc9-3961-11ef-b86f-7fa33ac8682b
"Jun 7, 2023",THW Kiel,HSG Wetzlar,38 - 23,33,https://www.daikin-hbl.de/en/match/5002bec7-3961-11ef-b52c-7fa33ac8682b
"Jun 7, 2023",Füchse Berlin,Handball Sport Verein Hamburg,36 - 32,33,https://www.daikin-hbl.de/en/match/503f1f6a-3961-11ef-a471-7fa33ac8682b
"Jun 7, 2023",MT Melsungen,ASV Hamm-Westfalen,30 - 29,33,https://www.daikin-hbl.de/en/match/504decf5-3961-11ef-8b3f-7fa33ac8682b
"Jun 7, 2023",SC DHfK Leipzig,TBV Lemgo Lippe,30 - 33,33,https://www.daikin-hbl.de/en/match/50634663-3961-11ef-8514-7fa33ac8682b
"Jun 4, 2023",SG Flensburg-Handewitt,TSV Hannover-Burgdorf,30 - 35,32,https://www.daikin-hbl.de/en/match/4f73af40-3961-11ef-bf8e-7fa33ac8682b
"Jun 4, 2023",Rhein-Neckar Löwen,HC Erlangen,40 - 23,32,https://www.daikin-hbl.de/en/match/4f83c8ee-3961-11ef-9ab1-7fa33ac8682b
"Jun 4, 2023",HSG Wetzlar,MT Melsungen,25 - 27,32,https://www.daikin-hbl.de/en/match/4f93615f-3961-11ef-bc59-7fa33ac8682b
"Jun 4, 2023",FRISCH AUF! Göppingen,Füchse Berlin,25 - 19,32,https://www.daikin-hbl.de/en/match/4fb48463-3961-11ef-be36-7fa33ac8682b
"Jun 4, 2023",TVB Stuttgart,VfL Gummersbach,31 - 30,32,https://www.daikin-hbl.de/en/match/4fc4b2eb-3961-11ef-af26-7fa33ac8682b
