Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link, victoria_local
"Jun 8, 2025",SG BBM Bietigheim,SC Magdeburg,25 - 35,34,https://www.daikin-hbl.de/en/match/a3cdd193-4374-11ef-97a0-07b53bf1eaa1
"Jun 8, 2025",TBV Lemgo Lippe,FRISCH AUF! Göppingen,29 - 29,34,https://www.daikin-hbl.de/en/match/a3e177f6-4374-11ef-80f8-95e83344d76f
"Jun 8, 2025",SG Flensburg-Handewitt,Handball Sport Verein Hamburg,40 - 37,34,https://www.daikin-hbl.de/en/match/a4b645c0-4374-11ef-9c1c-3f6243ab3ed4
"Jun 8, 2025",HSG Wetzlar,HC Erlangen,21 - 25,34,https://www.daikin-hbl.de/en/match/a69c70fe-4374-11ef-8cac-e12378ed22f2
"Jun 8, 2025",Rhein-Neckar Löwen,Füchse Berlin,33 - 38,34,https://www.daikin-hbl.de/en/match/a6d07af7-4374-11ef-b774-e12378ed22f2
"Jun 8, 2025",VfL Gummersbach,TSV Hannover-Burgdorf,39 - 29,34,https://www.daikin-hbl.de/en/match/a79a0466-4374-11ef-8dc0-5f411ff1ae1b
"Jun 8, 2025",TVB Stuttgart,SC DHfK Leipzig,29 - 28,34,https://www.daikin-hbl.de/en/match/a79b1a97-4374-11ef-b022-89956fae12b0
"Jun 8, 2025",1. VfL Potsdam,MT Melsungen,26 - 31,34,https://www.daikin-hbl.de/en/match/a9648a25-4374-11ef-bba3-337ae13ae915
"Jun 8, 2025",THW Kiel,ThSV Eisenach,36 - 35,34,https://www.daikin-hbl.de/en/match/a9a42452-4374-11ef-a262-89956fae12b0
"Jun 5, 2025",FRISCH AUF! Göppingen,TVB Stuttgart,28 - 27,33,https://www.daikin-hbl.de/en/match/9eed9800-4374-11ef-8c26-3f6243ab3ed4
"Jun 5, 2025",Füchse Berlin,VfL Gummersbach,45 - 35,33,https://www.daikin-hbl.de/en/match/a0dc006d-4374-11ef-a1f8-45dbf210b0af
"Jun 5, 2025",Handball Sport Verein Hamburg,HSG Wetzlar,33 - 29,33,https://www.daikin-hbl.de/en/match/a2b74868-4374-11ef-a037-f1015c9a2594
"Jun 4, 2025",SC Magdeburg,SG Flensburg-Handewitt,35 - 27,33,https://www.daikin-hbl.de/en/match/9fb1b35b-4374-11ef-bcad-45dbf210b0af
"Jun 4, 2025",TSV Hannover-Burgdorf,THW Kiel,29 - 29,33,https://www.daikin-hbl.de/en/match/9dd62dad-4374-11ef-a851-598ad4aba8ea
"Jun 4, 2025",SC DHfK Leipzig,SG BBM Bietigheim,25 - 34,33,https://www.daikin-hbl.de/en/match/9df03f3a-4374-11ef-a61b-f1015c9a2594
"Jun 4, 2025",MT Melsungen,TBV Lemgo Lippe,26 - 26,33,https://www.daikin-hbl.de/en/match/9f9d8236-4374-11ef-af4c-477e78279592
"Jun 4, 2025",ThSV Eisenach,1. VfL Potsdam,37 - 19,33,https://www.daikin-hbl.de/en/match/a19bdfc3-4374-11ef-a2e5-1dc999edcc18
"Jun 1, 2025",SG BBM Bietigheim,HC Erlangen,23 - 29,32,https://www.daikin-hbl.de/en/match/98cab75f-4374-11ef-8f67-3f6243ab3ed4
"Jun 1, 2025",MT Melsungen,ThSV Eisenach,26 - 25,32,https://www.daikin-hbl.de/en/match/979f9a98-4374-11ef-805d-f1015c9a2594
"Jun 1, 2025",HSG Wetzlar,Rhein-Neckar Löwen,30 - 30,32,https://www.daikin-hbl.de/en/match/99b1016b-4374-11ef-b4ea-1dc999edcc18
"Jun 1, 2025",SG Flensburg-Handewitt,TSV Hannover-Burgdorf,34 - 32,32,https://www.daikin-hbl.de/en/match/99e06abd-4374-11ef-854d-73cf0bc66b45
"Jun 1, 2025",TVB Stuttgart,Füchse Berlin,20 - 35,32,https://www.daikin-hbl.de/en/match/9af3ccc4-4374-11ef-9f0d-598ad4aba8ea
"Jun 1, 2025",TBV Lemgo Lippe,SC Magdeburg,29 - 31,32,https://www.daikin-hbl.de/en/match/98116961-4374-11ef-94c9-3f6243ab3ed4
"May 31, 2025",VfL Gummersbach,SC DHfK Leipzig,32 - 31,32,https://www.daikin-hbl.de/en/match/9bc1e6a6-4374-11ef-beec-45dbf210b0af
"May 31, 2025",1. VfL Potsdam,FRISCH AUF! Göppingen,21 - 25,32,https://www.daikin-hbl.de/en/match/9bdf0671-4374-11ef-b5a3-f1015c9a2594
"May 31, 2025",THW Kiel,Handball Sport Verein Hamburg,38 - 37,32,https://www.daikin-hbl.de/en/match/9ccb38d5-4374-11ef-85d1-07b53bf1eaa1
"May 29, 2025",Füchse Berlin,MT Melsungen,37 - 29,31,https://www.daikin-hbl.de/en/match/91e88536-4374-11ef-a04c-1dc999edcc18
"May 29, 2025",SG BBM Bietigheim,SG Flensburg-Handewitt,29 - 29,31,https://www.daikin-hbl.de/en/match/9316f9ec-4374-11ef-b6b7-e5ff593b2dc4
"May 29, 2025",Rhein-Neckar Löwen,TVB Stuttgart,26 - 33,31,https://www.daikin-hbl.de/en/match/9428c633-4374-11ef-81fd-8d4449e592cf
"May 28, 2025",THW Kiel,SC DHfK Leipzig,39 - 24,31,https://www.daikin-hbl.de/en/match/967a901a-4374-11ef-aad4-a7a6ca9f38f7
"May 28, 2025",TSV Hannover-Burgdorf,1. VfL Potsdam,26 - 27,31,https://www.daikin-hbl.de/en/match/90fd6d00-4374-11ef-8627-5fab4221e9e9
"May 28, 2025",HC Erlangen,SC Magdeburg,23 - 34,31,https://www.daikin-hbl.de/en/match/915644ea-4374-11ef-b422-b347f830b623
"May 28, 2025",HSG Wetzlar,TBV Lemgo Lippe,20 - 26,31,https://www.daikin-hbl.de/en/match/9388cc5d-4374-11ef-9d09-95e83344d76f
"May 28, 2025",VfL Gummersbach,FRISCH AUF! Göppingen,41 - 25,31,https://www.daikin-hbl.de/en/match/9527e552-4374-11ef-897e-a9b9006f53ad
"May 28, 2025",Handball Sport Verein Hamburg,ThSV Eisenach,31 - 29,31,https://www.daikin-hbl.de/en/match/95c2dcb2-4374-11ef-b7b9-3f6243ab3ed4
"May 25, 2025",1. VfL Potsdam,SC Magdeburg,23 - 37,4,https://www.daikin-hbl.de/en/match/ec029d31-4373-11ef-8dea-2b52f9be753d
"May 24, 2025",TVB Stuttgart,SG BBM Bietigheim,26 - 30,26,https://www.daikin-hbl.de/en/match/761f843d-4374-11ef-b4bd-41ec239e163c
"May 22, 2025",SC Magdeburg,ThSV Eisenach,33 - 32,16,https://www.daikin-hbl.de/en/match/34aafcd3-4374-11ef-9bfd-2d62b338e653
"May 21, 2025",Rhein-Neckar Löwen,VfL Gummersbach,32 - 34,12,https://www.daikin-hbl.de/en/match/1e655967-4374-11ef-8c3d-a94a7d17ff09
"May 19, 2025",MT Melsungen,HSG Wetzlar,33 - 27,30,https://www.daikin-hbl.de/en/match/8c02da6c-4374-11ef-97c1-e12378ed22f2
"May 19, 2025",SC Magdeburg,TSV Hannover-Burgdorf,34 - 28,30,https://www.daikin-hbl.de/en/match/8d042b99-4374-11ef-8aaa-7bb8010abe45
"May 19, 2025",SC DHfK Leipzig,Handball Sport Verein Hamburg,25 - 29,30,https://www.daikin-hbl.de/en/match/8b561056-4374-11ef-bebf-a7a6ca9f38f7
